Date,Cases,Temperature
2020-06-22,31390,22.222222
2020-06-23,34720,21.111111
2020-06-24,34339,22.5
2020-06-25,40949,25.790123
2020-06-26,45527,27.820988
2020-06-27,42486,25.481481
2020-06-28,38673,26.345679
2020-06-29,41556,28.160494
2020-06-30,43880,28.814815
2020-07-01,52048,26.030864
2020-07-02,53399,26.240741
2020-07-03,54442,24.808642
2020-07-04,45221,25.802469
2020-07-05,49093,25.123457
2020-07-06,49990,26.08642
2020-07-07,57473,26.641975
2020-07-08,58906,28.203704
2020-07-09,63004,25.055556
2020-07-10,66625,25.487654
2020-07-11,63051,25.54321
2020-07-12,57258,23.87037
2020-07-13,58114,25.703704
2020-07-14,68518,25.117284
2020-07-15,67717,21.987654
2020-07-16,76930,24.233333
2020-07-17,71494,27.277778
2020-07-18,63749,30.055556
2020-07-19,61796,25.733333
2020-07-20,56750,24.505556
2020-07-21,72048,23.461111
2020-07-22,68848,24.977778
2020-07-23,63196,27.155556
2020-07-24,78427,27.911111
2020-07-25,65498,28.883333
2020-07-26,55993,27.55
2020-07-27,56243,23.905556
2020-07-28,61734,23.761111
2020-07-29,74985,25.405556
2020-07-30,68032,21.111111
2020-07-31,67023,21.322222
2020-08-01,58407,21.95
2020-08-02,47511,21.366667
2020-08-03,45607,19.655556
2020-08-04,57525,18.888889
2020-08-05,52804,20.961111
2020-08-06,59755,24.688889
2020-08-07,58150,25.711111
2020-08-08,56221,27.111111
2020-08-09,46847,28.283333
2020-08-10,49530,26.816667
2020-08-11,46813,23.877778
2020-08-12,55941,26.044444
2020-08-13,51094,25.95
2020-08-14,64838,25.383333
2020-08-15,48085,24.105556
2020-08-16,42104,23.838889
2020-08-17,35056,23.45
2020-08-18,44091,22.783333
2020-08-19,47426,22.95
2020-08-20,44005,24.088889
2020-08-21,49880,25.527778
2020-08-22,44378,25.027778
2020-08-23,34506,26.7
2020-08-24,38298,27.183333
2020-08-25,38119,27.183333
2020-08-26,42848,26.8
2020-08-27,45909,27.172222
2020-08-28,49654,27.15
2020-08-29,44143,22.744444
2020-08-30,35581,21.222222
2020-08-31,33850,21.311111
2020-09-01,44639,19.494444
2020-09-02,38754,22.861111
2020-09-03,36249,22.6
2020-09-04,51071,19.933333
2020-09-05,44140,24.672222
2020-09-06,30555,28.261111
2020-09-07,24250,21.561111
2020-09-08,27122,10.572222
2020-09-09,31927,5.966667
2020-09-10,37507,8.988889
2020-09-11,48061,12.761111
2020-09-12,40820,16.522222
2020-09-13,33871,18.55
2020-09-14,34841,19.583333
2020-09-15,51473,19.244444
2020-09-16,24598,19.061111
2020-09-17,43567,16.033333
2020-09-18,50209,16.916667
2020-09-19,40295,18.194444
2020-09-20,39852,20.533333
2020-09-21,53153,20.361111
2020-09-22,38307,19.833333
2020-09-23,37930,20.111111
2020-09-24,44213,21.677778
2020-09-25,55013,22.316667
2020-09-26,45368,23.394444
2020-09-27,36248,18.016667
2020-09-28,32998,13.494444
2020-09-29,43017,13.427778
2020-09-30,41982,17.472222
